,lat,lon,market_penetration,mp_scaled
0,42.2557,-72.52,0.0009635458487233017,0.004125422555579353
1,42.101,-72.3196,0.00011717834544176236,0.00045764610355314173
2,42.3223,-72.6313,0.0001962836953677048,0.0008004531448947933
3,42.2618,-72.2583,9.688044952528579e-05,0.0003696841433178053
4,42.1251,-72.7495,2.4320840528248657e-05,5.524340189553617e-05
5,42.0507,-72.5676,0.00018725422882466764,0.0007613234942022693
6,42.2793,-73.3435,0.042105263157894736,0.18241513873375662
7,42.1959,-73.3607,0.00011862396204033214,0.00046391075631725985
8,42.5796,-71.8031,9.916453876093909e-05,0.0003795823597313305
9,42.5274,-71.7563,7.338013355184307e-05,0.00026784433353260284
10,42.6689,-71.5934,0.0007828129077150561,0.003342207199879455
11,42.4181,-71.6828,7.349698662354843e-05,0.0002683507222385564
12,42.451,-71.6868,0.0003956739646531258,0.0016645209778547777
13,42.3182,-71.6464,0.00014129282938890852,0.0005621474413658313
14,42.2848,-71.7205,0.0002549647298790334,0.0010547503807015817
15,42.4354,-71.7752,0.00025614754098360657,0.0010598761525438703
16,42.3584,-71.7838,0.0005269397971281781,0.0022333681127470317
17,42.3007,-71.4255,6.406765544414902e-05,0.00022748823788741363
18,42.4751,-71.4483,4.681428772061233e-05,0.00015271989481046216
19,42.4567,-71.3747,0.0005641430666817105,0.0023945903660563483
20,42.219,-71.5302,0.0001340033500837521,0.0005305581135155494
21,42.3509,-71.5434,7.792410192472531e-05,0.0002875358506716599
22,42.0967,-71.5499,0.002055146429183079,0.008855928970942858
23,42.4217,-71.3137,0.002347417840375587,0.010122501937669535
24,42.4308,-71.515,0.0018209408194233688,0.007840987096309754
25,42.3837,-71.4282,0.00028314174075542216,0.0011768568847677324
26,42.3486,-71.3588,0.0004577008162331223,0.0019333174814260626
27,42.7856,-71.0721,3.9781994669212715e-05,0.00012224509661976272
28,42.7281,-70.9822,0.0018330685567640229,0.007893543260460604
29,42.728,-71.181,6.349340726787868e-05,0.00022499970432441984
30,42.6826,-71.109,7.054176072234762e-05,0.0002555441010854322
31,42.6724,-71.4158,0.0005307386112339673,0.0022498304661204976
32,42.5009,-71.0685,8.0863623498969e-05,0.000300274416328342
33,42.5864,-71.4401,9.111202223133342e-05,0.0003446863714138125
34,42.4746,-70.9098,0.0007842018963427675,0.003348226452463113
35,42.5608,-70.8759,0.00022783656523720319,0.0009371891049269177
36,42.6208,-70.6721,0.0001389419569974643,0.0005519598167634847
37,42.5796,-70.7674,0.001557632398753894,0.006699926716265297
38,42.5326,-70.9612,5.888819095477387e-05,0.00020504276613361814
39,42.5151,-70.9003,0.00014595344085236808,0.000582344437246986
40,42.6017,-70.8786,0.0008205128205128205,0.0035055816818473488
41,42.7949,-70.9778,0.0009445100354191264,0.004042929894280899
42,42.2395,-70.8128,0.0011933174224343676,0.005121149310369601
43,42.2437,-71.1637,0.00012140342357654485,0.00047595569369057305
44,42.1532,-71.2179,0.000473260766682442,0.0020007473149575203
45,42.0649,-71.2441,0.00017788319003854134,0.0007207136228904392
46,42.0935,-71.4058,0.0002844950213371266,0.0011827213947250682
47,42.0212,-71.2178,0.00012939958592132506,0.0005106074682932751
48,42.1177,-71.3269,0.00027319916218923596,0.0011337702168650924
49,42.1596,-70.8217,9.518370454978108e-05,0.00036233121301020124
50,42.2032,-70.7525,0.00011327594019030358,0.0004407348327020411
51,42.1094,-71.1759,5.7188608029280565e-05,0.00019767753742596945
52,42.1444,-71.2544,0.00010827197921177999,0.0004190499143034412
53,42.3576,-71.0684,0.00026143790849673205,0.0010828022281693796
54,42.36,-71.0545,0.0015910898965791568,0.0068449164780312296
55,42.3576,-71.0514,0.002308136180034622,0.009952272872592639
56,42.3503,-71.0629,0.00027089259108763376,0.0011237745741465575
57,42.3611,-71.0682,0.000583381948495708,0.002477963035029465
58,42.3427,-71.0922,0.0013360992932737949,0.005739901780910635
59,42.3492,-71.0768,4.8477797168896646e-05,0.00015992879727716135
60,42.3362,-71.0729,0.0005283417616423881,0.0022394435969921842
61,42.2973,-71.0745,0.0006928939872199554,0.0029525390026662627
62,42.2918,-71.0717,0.0002511353410208652,0.0010381555300897798
63,42.2973,-71.0745,9.010361916203634e-05,0.00034031640562781694
64,42.3347,-71.0375,0.0005031604767445517,0.0021303192232160744
65,42.3642,-71.0257,7.405944504789177e-05,0.00027078816431431156
66,42.3778,-71.0627,0.0004258166555143257,0.0017951458557154752
67,42.3126,-71.1115,0.0005367080025987966,0.0022756991260063754
68,42.2836,-71.1295,6.70555890833501e-05,0.0002404365996801196
69,42.2787,-71.1589,0.00019334132477475736,0.0007877022328712285
70,42.3478,-71.1566,7.012622720897616e-05,0.0002537433655545164
71,42.377,-71.1256,0.00044060142093958255,0.0018592163856746696
72,42.3647,-71.1042,0.0007427989765880767,0.003168804802254892
73,42.3687,-71.0836,0.00033585222502099076,0.0014052804386194219
74,42.3829,-71.1028,0.0002447580974137228,0.001010519421850247
75,42.4003,-71.1221,0.000460424427608723,0.0019451203892990225
76,42.3907,-71.0929,3.930972129407603e-05,0.00012019847602347421
77,42.4173,-71.1087,3.450417500517563e-05,9.93733977339457e-05
78,42.3253,-71.1122,0.001549186676994578,0.006663326753165249
79,42.2825,-71.0241,0.00039523459996612274,0.001662616968725654
80,42.2093,-70.9963,0.00016786034019695615,0.0006772790953493549
81,42.3471,-71.1027,7.655502392344497e-05,0.0002816028817963027
82,42.0399,-70.7163,0.0003984328308652633,0.001676476664347862
83,42.1214,-70.857,0.00021615390157792347,0.0008865616901215139
