Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
Virginia,LIVELY,22517,08-14 Days,6
Virginia,STAFFORD,22554,15+ Days,4
Virginia,FRONT ROYAL,22630,04-7 Days,4
Virginia,HARRISONBURG,22801,03 Days,12
Virginia,CHARLOTTESVILLE,22901,02 Days,2
Virginia,CHARLOTTESVILLE,22903,08-14 Days,1
Virginia,CHARLOTTESVILLE,22911,04-7 Days,2
Virginia,CHARLOTTESVILLE,22911,08-14 Days,4
Virginia,GLEN ALLEN,23059,08-14 Days,1
Virginia,GLEN ALLEN,23059,15+ Days,1
Virginia,MANAKIN SABOT,23103,04-7 Days,6
Virginia,MANAKIN SABOT,23103,08-14 Days,6
Virginia,MIDLOTHIAN,23113,04-7 Days,12
Virginia,MIDLOTHIAN,23114,04-7 Days,4
Virginia,WILLIAMSBURG,23188,02 Days,1
Virginia,RICHMOND,23220,08-14 Days,1
Virginia,RICHMOND,23220,15+ Days,1
Virginia,RICHMOND,23221,02 Days,2
Virginia,RICHMOND,23221,04-7 Days,2
Virginia,RICHMOND,23223,15+ Days,6
Virginia,HENRICO,23228,15+ Days,3
Virginia,HENRICO,23229,15+ Days,3
Virginia,NORTH CHESTERFIELD,23235,15+ Days,1
Virginia,RICHMOND,23236,04-7 Days,2
Virginia,RICHMOND,23238,15+ Days,6
Virginia,SUFFOLK,23435,08-14 Days,6
Virginia,VIRGINIA BEACH,23451,03 Days,2
Virginia,VIRGINIA BEACH,23451,08-14 Days,6
Virginia,VIRGINIA BEACH,23454,02 Days,1
Virginia,VIRGINIA BEACH,23454,03 Days,2
Virginia,VIRGINIA BEACH,23454,04-7 Days,3
Virginia,VIRGINIA BEACH,23455,02 Days,1
Virginia,VIRGINIA BEACH,23455,04-7 Days,1
Virginia,VIRGINIA BEACH,23455,08-14 Days,3
Virginia,VIRGINIA BEACH,23456,08-14 Days,3
Virginia,VIRGINIA BEACH,23462,04-7 Days,4
Texas,NORFOLK,23510,04-7 Days,3
Virginia,NEWPORT NEWS,23601,04-7 Days,3
Virginia,NEWPORT NEWS,23601,15+ Days,6
Virginia,NEWPORT NEWS,23606,15+ Days,6
Virginia,POQUOSON,23662,02 Days,4
Virginia,PORTSMOUTH,23701,03 Days,9
Virginia,PORTSMOUTH ,23704,15+ Days,12
Virginia,ELBERON,23846,04-7 Days,3
Virginia,FARMVILLE,23900,08-14 Days,2
Virginia,BLACKSBURG,24060,03 Days,2
Virginia,MONETA,24121,15+ Days,12
Virginia,LYNCHBURG,24503,02 Days,4
Virginia,LYNCHBURG,24503,04-7 Days,2
Virginia,BEDFORD,24523,15+ Days,9
West Virginia,RIPLEY,25271,15+ Days,3
West Virginia,MARTINSBURG,25403,04-7 Days,8
West Virginia,HUNTINGTON,25704,15+ Days,3
West Virginia,WHEELING,26003,04-7 Days,6
West Virginia,WHEELING,26003,15+ Days,6
West Virginia,SISTERSVILLE,26175,02 Days,5
West Virginia,MORGANTOWN,26505,15+ Days,3
North Carolina,ADVANCE,27006,02 Days,1
North Carolina,CLEMMONS,27012,08-14 Days,6
North Carolina,LEWISVILLE,27023,15+ Days,8
North Carolina,PFAFFTOWN,27040,04-7 Days,2
North Carolina,WINSTON-SALEM,27104,08-14 Days,2
North Carolina,WINSTON-SALEM,27109,04-7 Days,1
North Carolina,HIGH POINT,27262,04-7 Days,1
North Carolina,HILLSBOROUGH,27278,15+ Days,7
North Carolina,SUMMERFIELD,27358,02 Days,12
North Carolina,SUMMERFIELD,27358,04-7 Days,1
North Carolina,GREENSBORO,27410,15+ Days,9
North Carolina,GREENSBORO,27455,08-14 Days,2
North Carolina,CARRBORO,27510,02 Days,2
North Carolina,CARY,27511,15+ Days,6
North Carolina,CARY,27513,02 Days,6
North Carolina,CARY,27513,03 Days,1
North Carolina,CARY,27513,15+ Days,11
North Carolina,CHAPEL HILL,27514,04-7 Days,6
North Carolina,CHAPEL HILL,27514,15+ Days,2
North Carolina,CHAPEL HILL,27516,01 Day,1
North Carolina,CHAPEL HILL,27516,02 Days,3
North Carolina,CHAPEL HILL,27516,03 Days,3
North Carolina,CHAPEL HILL,27516,08-14 Days,6
North Carolina,CHAPEL HILL,27516,15+ Days,11
North Carolina,CHAPEL HILL,27517,02 Days,8
North Carolina,CHAPEL HILL,27517,03 Days,12
North Carolina,CHAPEL HILL,27517,15+ Days,24
North Carolina,CARY,27518,04-7 Days,1
North Carolina,CARY,27518,15+ Days,2
North Carolina,CARY,27519,15+ Days,3
North Carolina,APEX,27523,08-14 Days,6
Norway,RALEIGH,27601,03 Days,6
North Carolina,RALEIGH,27603,15+ Days,1
North Carolina,RALEIGH,27608,15+ Days,6
North Carolina,RALEIGH,27609,04-7 Days,3
North Carolina,RALEIGH,27612,04-7 Days,3
North Carolina,RALEIGH,27613,03 Days,2
North Carolina,RALEIGH,27613,08-14 Days,5
North Carolina,RALEIGH,27613,15+ Days,1
North Carolina,RALEIGH,27614,02 Days,10
North Carolina,RALEIGH,27615,02 Days,1
North Carolina,RALEIGH,27615,08-14 Days,24
North Carolina,RALEIGH,27615,15+ Days,27
North Carolina,RALEIGH,27616,08-14 Days,3
North Carolina,DURHAM,27701,15+ Days,4
North Carolina,DURHAM,27705,08-14 Days,6
North Carolina,DURHAM,27705,15+ Days,6
North Carolina,ELIZABETH CITY,27909,15+ Days,3
North Carolina,KITTY HAWK,27949,02 Days,3
North Carolina,CONCORD,28027,15+ Days,21
North Carolina,CORNELIUS,28031,02 Days,6
North Carolina,CORNELIUS,28031,04-7 Days,17
North Carolina,CRAMERTON,28032,02 Days,6
North Carolina,DAVIDSON,28036,02 Days,12
North Carolina,HUNTERSVILLE,28078,02 Days,3
North Carolina,HUNTERSVILLE,28078,15+ Days,6
North Carolina,MATTHEWS,28104,08-14 Days,2
North Carolina,MOORESVILLE,28117,02 Days,12
North Carolina,WAXHAW,28173,15+ Days,18
North Carolina,CHARLOTTE,28202,02 Days,5
North Carolina,CHARLOTTE,28202,03 Days,3
North Carolina,CHARLOTTE,28202,04-7 Days,2
North Carolina,CHARLOTTE,28202,08-14 Days,12
North Carolina,CHARLOTTE,28203,03 Days,1
North Carolina,CHARLOTTE,28203,04-7 Days,2
North Carolina,CHARLOTTE,28207,02 Days,3
North Carolina,CHARLOTTE,28207,15+ Days,12
North Carolina,CHARLOTTE,28208,08-14 Days,3
North Carolina,CHARLOTTE,28209,04-7 Days,5
North Carolina,CHARLOTTE,28209,15+ Days,3
North Carolina,CHARLOTTE,28210,02 Days,2
North Carolina,CHARLOTTE,28210,15+ Days,7
North Carolina,CHARLOTTE,28211,04-7 Days,2
North Carolina,CHARLOTTE,28226,08-14 Days,9
North Carolina,CHARLOTTE,28269,15+ Days,6
North Carolina,CHARLOTTE,28270,03 Days,3
North Carolina,CHARLOTTE,28273,15+ Days,2
North Carolina,CHARLOTTE,28277,02 Days,8
North Carolina,CHARLOTTE,28277,03 Days,3
North Carolina,CHARLOTTE,28277,15+ Days,7
North Carolina,CHARLOTTE,28278,15+ Days,9
North Carolina,FAYETTEVILLE,28303,04-7 Days,9
North Carolina,PINEHURST,28374,08-14 Days,6
North Carolina,VASS,28394,02 Days,3
North Carolina,WILMINGTON,28405,15+ Days,2
North Carolina,WILMINGTON,28411,15+ Days,3
North Carolina,SURF CITY,28445,02 Days,1
North Carolina,SURF CITY,28445,04-7 Days,3
North Carolina,NORTH CAROLINA,28605,15+ Days,15
North Carolina,BOONE,28607,02 Days,2
North Carolina,BILTMORE LAKE,28715,02 Days,1
North Carolina,HIGHLANDS,28741,15+ Days,6
North Carolina,LEICESTER,28748,15+ Days,1
North Carolina,ASHEVILLE,28801,02 Days,2
South Carolina,LEXINGTON,29072,02 Days,2
South Carolina,LEXINGTON,29072,15+ Days,8
South Carolina,SUMTER,29150,08-14 Days,2
South Carolina,COLUMBIA,29201,02 Days,4
South Carolina,COLUMBIA,29201,04-7 Days,3
South Carolina,COLUMBIA,29202,02 Days,2
South Carolina,COLUMBIA,29202,04-7 Days,1
South Carolina,COLUMBIA,29206,04-7 Days,3
South Carolina,SPARTANBURG,29301,03 Days,2
South Carolina,SPARTANBURG,29301,04-7 Days,5
South Carolina,CHARLESTON,29403,15+ Days,1
South Carolina,CHARLESTON,29407,02 Days,1
South Carolina,CHARLESTON,29412,15+ Days,5
South Carolina,CHARLESTON,29414,04-7 Days,6
South Carolina,CHARLESTON,29414,08-14 Days,3
South Carolina,HOLLYWOOD,29449,15+ Days,6
South Carolina,ISLE OF PALMS,29451,04-7 Days,6
South Carolina,ISLE OF PALMS,29451,08-14 Days,6
South Carolina,MOUNT PLEASANT,29464,02 Days,1
South Carolina,MOUNT PLEASANT,29464,15+ Days,13
South Carolina,MT PLEASANT,29464,04-7 Days,1
South Carolina,MT PLEASANT,29464,15+ Days,3
South Carolina,MT. PLEASANT,29464,03 Days,2
South Carolina,MT. PLEASANT,29464,04-7 Days,7
South Carolina,SUMMERVILLE,29485,15+ Days,3
South Carolina,FLORENCE,29501,03 Days,3
South Carolina,FLORENCE,29501,15+ Days,4
South Carolina,GREENVILLE,29607,15+ Days,2
South Carolina,GREENVILLE,29615,15+ Days,2
South Carolina,ANDERSON,29621,08-14 Days,2
South Carolina,ANDERSON,29625,04-7 Days,3
South Carolina,CLEMSON,29631,02 Days,2
South Carolina,GREENWOOD,29648,15+ Days,3
South Carolina,GREENWOOD,29649,15+ Days,6
South Carolina,GREER,29650,03 Days,9
South Carolina,GREER,29650,15+ Days,17
South Carolina,PELZER,29669,08-14 Days,3
South Carolina,PIEDMONT,29673,08-14 Days,6
South Carolina,SIMPSONVILLE,29680,08-14 Days,9
South Carolina,SIMPSONVILLE,29681,04-7 Days,3
South Carolina,SIX MILE,29682,02 Days,3
South Carolina,INDIAN LAND,29707,15+ Days,3
South Carolina,FORT MILL,29708,02 Days,2
South Carolina,ROCK HILL,29732,03 Days,4
South Carolina,AIKEN,29803,04-7 Days,6
South Carolina,NORTH AUGUSTA,29860,04-7 Days,4
South Carolina,NORTH AUGUSTA,29860,08-14 Days,4
Georgia,ALPHARETTA,30004,15+ Days,7
Georgia,ALPHARETTA,30005,04-7 Days,6
Georgia,MARIETTA,30007,01 Day,1
Georgia,MARIETTA,30007,02 Days,5
Georgia,ALPHARETTA,30009,15+ Days,2
Georgia,GRAYSON,30017,08-14 Days,2
Georgia,CLARKSTON,30021,15+ Days,2
Georgia,ALPHARETTA,30022,02 Days,8
Georgia,ALPHARETTTA,30022,15+ Days,3
Georgia,SUWANEE,30024,03 Days,3
Georgia,SUWANEE,30024,15+ Days,1
Georgia,DECATUR,30030,04-7 Days,2
Georgia,DECATUR,30032,08-14 Days,4
Georgia,CUMMING,30040,04-7 Days,9
Georgia,CUMMING,30041,02 Days,1
Georgia,LAWRENCEVILLE,30042,02 Days,2
Georgia,LILBURN,30047,04-7 Days,9
Georgia,LILBURN,30047,15+ Days,6
Georgia,MARIETTA,30062,02 Days,2
Georgia,MARIETTA,30062,08-14 Days,3
Georgia,MARIETTA,30064,02 Days,12
Georgia,MARIETTA,30066,02 Days,6
Georgia,MARIETTA,30066,03 Days,6
Georgia,MARIETTA,30066,08-14 Days,3
Georgia,MARIETTA,30067,02 Days,6
Georgia,MARIETTA,30067,04-7 Days,6
Georgia,MARIETTA,30067,08-14 Days,12
Georgia,MARIETTA,30068,02 Days,4
Georgia,ROSWELL,30075,03 Days,6
Georgia,ROSWELL,30075,08-14 Days,12
Georgia,ROSWELL,30075,15+ Days,22
Georgia,ROSWELL,30076,02 Days,3
Georgia,ROSWELL,30076,08-14 Days,2
Georgia,SNELLVILLE,30078,02 Days,2
Georgia,SNELLVILLE,30078,15+ Days,3
Georgia,SCOTTDALE,30079,15+ Days,3
Georgia,SMYRNA,30080,04-7 Days,2
Georgia,SMYRNA,30080,08-14 Days,4
Georgia,SMYRNA,30080,15+ Days,1
Georgia,SMYRNA,30082,02 Days,1
Georgia,SMYRNA,30082,15+ Days,1
Georgia,NORCROSS,30092,02 Days,6
Georgia,NORCROSS,30092,15+ Days,6
Georgia,DULUTH,30097,02 Days,8
Georgia,DULUTH,30097,04-7 Days,4
Georgia,DULUTH,30097,08-14 Days,19
Georgia,DULUTH,30097,15+ Days,13
Georgia,CANTON,30114,02 Days,3
Georgia,CANTON,30115,04-7 Days,4
Georgia,CANTON,30115,08-14 Days,3
Georgia,CANTON,30115,15+ Days,12
Georgia,CARTERSVILLE,30120,04-7 Days,15
Georgia,CARTERSVILLE,30120,15+ Days,9
Georgia,MABLETON,30126,08-14 Days,1
Georgia,MABLETON,30126,15+ Days,10
Georgia,POWDER SPRINGS,30127,15+ Days,5
Georgia,DOUGLASVILLE,30135,03 Days,6
Georgia,JASPER,30143,15+ Days,4
Georgia,KENNESAW,30144,02 Days,1
Georgia,KENNESAW,30144,03 Days,1
Georgia,KENNESAW,30144,15+ Days,4
Georgia,KENNESAW,30152,15+ Days,3
Georgia,ROME,30165,15+ Days,3
Georgia,TAYLORSVILLE,30178,15+ Days,12
Georgia,VILLA RICA,30180,15+ Days,12
Georgia,WOODSTOCK,30188,04-7 Days,4
Georgia,WOODSTOCK,30188,15+ Days,2
Georgia,FAYETTEVILLE,30214,04-7 Days,2
Georgia,FAYETTEVILLE,30214,15+ Days,4
Georgia,MCDONOUGH,30252,04-7 Days,2
Georgia,MCDONOUGH,30252,08-14 Days,3
Georgia,MCDONOUGH,30253,04-7 Days,2
Georgia,NEWNAN,30265,04-7 Days,3
Georgia,PEACHTREE CITY,30269,08-14 Days,8
Georgia,PEACHTREE CITY,30269,15+ Days,6
Georgia,ATLANTA,30305,04-7 Days,4
Georgia,ATLANTA,30305,08-14 Days,3
Georgia,ATLANTA,30305,15+ Days,7
Georgia,ATLANTA,30306,02 Days,4
Georgia,ATLANTA,30306,03 Days,6
Georgia,ATLANTA,30306,04-7 Days,4
Georgia,ATLANTA,30306,08-14 Days,12
Georgia,ATLANTA,30307,02 Days,4
Georgia,ATLANTA,30307,04-7 Days,4
Georgia,ATLANTA,30308,02 Days,12
Georgia,ATLANTA,30308,08-14 Days,24
Georgia,ATLANTA,30308,15+ Days,1
Georgia,ATLANTA,30309,02 Days,4
Georgia,ATLANTA,30309,04-7 Days,2
Georgia,ATLANTA,30309,08-14 Days,6
Georgia,ATLANTA,30312,04-7 Days,4
Georgia,ATLANTA,30313,15+ Days,2
Georgia,ATLANTA,30316,08-14 Days,9
Georgia,ATLANTA,30316,15+ Days,1
Georgia,ATLANTA,30317,08-14 Days,3
Georgia,ATLANTA,30318,04-7 Days,10
Georgia,ATLANTA,30318,08-14 Days,6
Georgia,ATLANTA,30319,02 Days,1
Georgia,ATLANTA,30319,03 Days,2
Georgia,ATLANTA,30319,04-7 Days,2
Georgia,ATLANTA,30319,08-14 Days,12
Georgia,ATLANTA,30319,15+ Days,20
Georgia,ATLANTA,30324,03 Days,4
Georgia,ATLANTA,30327,08-14 Days,3
Georgia,ATLANTA,30328,08-14 Days,6
Georgia,ATLANTA,30331,04-7 Days,3
Georgia,ATLANTA,30338,02 Days,2
Georgia,DUNWOODY,30338,15+ Days,6
Georgia,ATLANTA,30339,15+ Days,7
Georgia,CHAMBLEE,30341,02 Days,5
Georgia,ATLANTA,30342,15+ Days,12
Georgia,ATLANTA,30350,02 Days,2
Georgia,ATLANTA,30350,15+ Days,14
Georgia,VIDALIA,30474,04-7 Days,8
Georgia,GAINESVILLE,30506,02 Days,6
Georgia,GAINESVILLE,30506,08-14 Days,9
Georgia,ATHENS,30605,03 Days,6
Georgia,ATHENS,30606,08-14 Days,2
Georgia,BOSTWICK,30623,08-14 Days,3
Georgia,COLBERT,30628,15+ Days,3
Georgia,MONROE,30655,02 Days,6
Georgia,WATKINSVILLE,30677,04-7 Days,1
Georgia,WATKINSVILLE,30677,15+ Days,3
Georgia,WHITE PLAINS,30678,02 Days,1
Georgia,CHATSWORTH,30705,04-7 Days,3
Georgia,CHATSWORTH,30705,08-14 Days,4
Georgia,DALTON,30720,04-7 Days,14
Georgia,DALTON,30720,15+ Days,7
Georgia,WARNER ROBINS,31093,02 Days,1
Georgia,MACON,31204,02 Days,1
Georgia,MACON,31204,03 Days,5
Georgia,MACON,31204,04-7 Days,3
Georgia,RINCON,31326,02 Days,10
Georgia,SAVANNAH,31405,03 Days,2
Georgia,SAVANNAH,31419,04-7 Days,5
Georgia,AMERICUS,31709,08-14 Days,15
Georgia,FITZGERALD,31750,04-7 Days,3
Georgia,OCILLA,31774,04-7 Days,3
Georgia,OCILLA,31774,15+ Days,6
Georgia,MIDLAND,31820,04-7 Days,6
Florida,FLEMING ISLAND,32003,15+ Days,5
Florida,ORANGE PARK,32003,08-14 Days,3
Florida,LAKE CITY,32025,08-14 Days,3
Florida,ORANGE PARK,32073,08-14 Days,2
Florida,SAINT AUGUSTINE,32080,15+ Days,6
Florida,PONTE VEDRA,32081,15+ Days,1
Florida,PONTE VEDRA,32082,15+ Days,3
Florida,ST. AUGUSTINE,32084,02 Days,6
Florida,ST. AUGUSTINE,32084,03 Days,9
We,ST. AUGUSTINE,32084,02 Days,6
Florida,ST AUGUSTINE,32086,15+ Days,4
Florida,SAINT AUGUSTINE,32092,04-7 Days,6
Florida,DAYTONA BEACH SHORES,32118,04-7 Days,2
Florida,DAYTONA BEACH SHORES,32118,08-14 Days,6
Florida,DAYTONA BEACH SHORES,32118,15+ Days,9
Florida,PORT ORANGE,32128,03 Days,1
Florida,PORT ORANGE,32128,04-7 Days,1
Florida,PORT ORANGE,32128,15+ Days,12
Florida,PORT ORANGE,32129,15+ Days,2
Florida,PALM COAST,32137,03 Days,1
Florida,THE VILLAGES,32163,03 Days,3
Florida,ORMOND BEACH,32176,04-7 Days,3
Florida,JACKSONVILLE,32207,15+ Days,6
Florida,JACKSONVILLE,32217,15+ Days,1
Florida,JACKSONVILLE,32218,08-14 Days,6
Florida,JACKSONVILLE,32223,08-14 Days,3
Florida,JACKSONVILLE,32224,08-14 Days,5
Florida,ATLANTIC BEACH,32233,02 Days,2
Florida,JACKSONVILLE,32244,02 Days,8
Florida,JACKSONVILLE BEACH,32250,04-7 Days,6
Florida,JACKSONVILLE,32256,04-7 Days,3
Florida,JACKSONVILLE,32256,15+ Days,9
Florida,JACKSONVILLE,32258,03 Days,1
Florida,JACKSONVILLE,32258,04-7 Days,9
Florida,JACKSONVILLE,32258,15+ Days,3
Florida,JACKSONVILLE,32259,08-14 Days,2
Florida,JACKSONVILLE,32259,15+ Days,3
Florida,SAINT JOHNS,32259,15+ Days,12
Florida,ST. JOHNS,32259,04-7 Days,3
Florida,NEPTUNE BEACH,32266,04-7 Days,2
Florida,TALLAHASSEE,32304,15+ Days,6
Florida,TALLAHASSEE,32308,15+ Days,3
Florida,TALLAHASSEE,32310,15+ Days,3
Florida,TALLAHASSEE,32312,15+ Days,7
Florida,TALLAHASSEE,32317,03 Days,3
Florida,TALLAHASSEE,32317,04-7 Days,2
Florida,PANAMA CITY BEACH,32408,15+ Days,9
Florida,PC BEACH,32417,15+ Days,12
Florida,LYNN HAVEN,32444,15+ Days,12
Florida,MARIANNA,32446,04-7 Days,6
Alabama,WATERSOUND,32461,15+ Days,3
Florida,PENSACOLA,32502,04-7 Days,6
Florida,PENSACOLA,32503,08-14 Days,2
Florida,PENSACOLA,32503,15+ Days,4
Florida,PENSACOLA,32504,15+ Days,4
Florida,CRESTVIEW,32536,02 Days,2
Florida,CRESTVIEW,32536,03 Days,2
Florida,CRESTVIEW,32536,08-14 Days,3
Florida,CRESTVIEW,32536,15+ Days,6
Florida,GULF BREEZE,32561,04-7 Days,6
Florida,GULF BREEZE,32563,02 Days,8
Florida,GULF BREEZE,32563,03 Days,2
Florida,GULF BREEZE,32563,15+ Days,12
Florida,MILTON,32570,15+ Days,4
Florida,GAINESVILLE,32601,15+ Days,1
Florida,GAINESVILLE,32606,02 Days,15
Florida,GAINESVILLE,32607,08-14 Days,3
Florida,GAINESVILLE,32608,15+ Days,1
Florida,GAINESVILLE,32653,02 Days,1
Florida,GAINESVILLE,32653,04-7 Days,3
Florida,GAINESVILLE,32653,15+ Days,18
Florida,WILLISTON,32696,02 Days,2
Florida,ALTAMONTE SPRINGS,32701,02 Days,3
Florida,APOPKA,32703,08-14 Days,3
Florida,CASSELBERRY,32707,15+ Days,15
Florida,CASSELBERRY,32708,04-7 Days,3
Florida,WINTER SPRINGS,32708,15+ Days,4
Florida,APOPKA,32712,15+ Days,1
Florida,DELAND,32721,08-14 Days,3
Florida,DELAND,32721,15+ Days,9
Florida,FERN PARK,32730,04-7 Days,6
Florida,LAKE MARY,32746,04-7 Days,2
Florida,LAKE MARY,32746,08-14 Days,8
Florida,LONGWOOD,32750,15+ Days,3
Florida,MAITLAND,32751,15+ Days,6
Florida,MOUNT DORA,32757,04-7 Days,6
Florida,OVIEDO,32765,02 Days,9
Florida,OVIEDO,32765,04-7 Days,6
Florida,OVIEDO,32765,15+ Days,3
Florida,SANFORD,32771,15+ Days,18
Florida,SANFORD,32773,08-14 Days,4
Florida,SANFORD,32773,15+ Days,2
Florida,LONGWOOD,32779,02 Days,9
Florida,LONGWOOD,32779,04-7 Days,6
Florida,LONGWOOD,32779,08-14 Days,3
Florida,WINTER PARK,32789,08-14 Days,5
Florida,WINTER PARK,32789,15+ Days,21
Florida,WINTER PARK,32792,04-7 Days,6
Florida,WINTER PARK,32793,02 Days,4
Florida,ORLANDO,32801,08-14 Days,35
Florida,ORLANDO,32801,15+ Days,3
Florida,PONTE VEDRA,32802,03 Days,2
Florida,ORLANDO,32803,08-14 Days,3
Florida,ORLANDO,32803,15+ Days,9
Florida,ORLANDO,32804,03 Days,6
Florida,ORLANDO,32804,04-7 Days,10
Florida,ORLANDO,32804,08-14 Days,6
Florida,ORLANDO,32804,15+ Days,12
Florida,ORLANDO,32806,03 Days,3
Florida,ORLANDO,32806,04-7 Days,3
Florida,ORLANDO,32806,08-14 Days,6
Florida,ORLANDO,32806,15+ Days,22
Florida,ORLANDO,32810,04-7 Days,3
Florida,ORLANDO,32811,08-14 Days,3
Florida,ORLANDO,32814,08-14 Days,12
Florida,ORLANDO,32814,15+ Days,6
Florida,ORLANDO,32817,04-7 Days,10
Florida,ORLANDO,32819,15+ Days,12
Florida,ORLANDO,32829,02 Days,1
Florida,ORLANDO,32829,04-7 Days,1
Florida,ORLANDO,32832,08-14 Days,6
Florida,ORLANDO,32835,15+ Days,4
Florida,ORLANDO,32836,04-7 Days,3
Florida,ORLANDO,32837,15+ Days,6
Florida,ORLANDO,32839,15+ Days,6
Florida,INDIALANTIC,32903,15+ Days,6
Florida,MELBOURNE,32904,04-7 Days,4
Florida,MELBOURNE,32904,08-14 Days,4
Florida,WEST MELBOURNE,32904,08-14 Days,6
Florida,PALM BAY,32909,08-14 Days,6
Florida,COCOA,32922,04-7 Days,6
Florida,COCOA BEACH,32931,04-7 Days,4
Florida,MELBOURNE,32934,08-14 Days,12
Florida,MELBOURNE,32935,15+ Days,9
Florida,INDIAN HARBOR BEACH,32937,03 Days,3
Florida,SATELLITE BEACH,32937,03 Days,4
Florida,MELBOURNE,32940,01 Day,3
Florida,MELBOURNE,32940,03 Days,3
Florida,MELBOURNE,32940,15+ Days,4
Florida,MELBOURNE BEACH,32951,02 Days,4
Florida,MELBOURNE BEACH,32951,15+ Days,4
Florida,MERRITT ISLAND,32952,04-7 Days,3
Florida,ROCKLEDGE,32955,08-14 Days,12
Florida,ROCKLEDGE,32955,15+ Days,4
Florida,VERO BEACH,32960,15+ Days,8
Florida,VERO BEACH,32963,04-7 Days,5
Florida,VERO BEACH,32963,08-14 Days,18
Florida,VERO BEACH,32963,15+ Days,18
Florida,VERO BEACH,32966,04-7 Days,5
Florida,VERO BEACH,32968,04-7 Days,3
Florida,VERO BEACH,32968,15+ Days,30
Florida,HIALEAH,33012,04-7 Days,2
Florida,HOLLYWOOD,33019,15+ Days,6
Florida,HOLLYWOOD,33024,03 Days,2
Florida,PEMBROKE PINES,33024,08-14 Days,2
Florida,MIRAMAR,33025,03 Days,4
Florida,PEMBROKE PINES,33028,15+ Days,3
Florida,"MIRAMAR,",33029,08-14 Days,3
Florida,PEMBROKE PINES,33029,15+ Days,2
Florida,MARATHON,33050,15+ Days,6
Florida,MARATHON,33052,15+ Days,9
Florida,POMPANO BEACH,33060,04-7 Days,12
Florida,POMPANO BEACH,33064,04-7 Days,12
Florida,POMPANO BEACH,33064,15+ Days,6
Florida,CORAL SPRINGS,33065,15+ Days,2
Florida,COCONUT CREEK,33066,03 Days,4
Florida,CORAL SPRINGS,33067,02 Days,2
Florida,CORAL SPRINGS,33067,15+ Days,9
Florida,POMPANO BEACH,33069,15+ Days,8
Florida,COCONUT CREEK,33073,02 Days,2
Florida,CORAL SPRINGS,33076,15+ Days,6
Florida,PARKLAND,33076,15+ Days,6
Florida,MIAMI,33126,01 Day,4
Florida,MIAMI,33126,04-7 Days,3
Florida,MIAMI,33126,08-14 Days,2
Florida,MIAMI,33126,15+ Days,3
Florida,MIAMI,33129,15+ Days,4
Florida,MIAMI,33131,02 Days,12
Florida,MIAMI,33131,15+ Days,4
Florida,MIAMI,33133,15+ Days,4
Florida,MIA,33139,02 Days,1
Florida,MIAMI,33139,02 Days,2
Florida,MIAMI BEACH,33139,03 Days,7
Florida,MIAMI BEACH,33139,04-7 Days,3
Florida,MIAMI BEACH,33139,15+ Days,9
Florida,MIAMI BEACH,33140,02 Days,1
Florida,MIAMI BEACH,33140,08-14 Days,1
Florida,MIAMI,33142,15+ Days,12
Florida,MIAMI,33143,04-7 Days,2
Florida,SOUTH MIAMI,33143,08-14 Days,14
Florida,KEY BISCAYNE,33149,02 Days,4
Florida,KEY BISCAYNE,33149,03 Days,4
Florida,KEY BISCAYNE,33149,04-7 Days,12
Florida,KEY BISCAYNE,33149,08-14 Days,9
Florida,KEY BYSCAUNE,33149,03 Days,18
Florida,KEY BYSCAUNE,33149,08-14 Days,18
Florida,SURF SIDE,33154,08-14 Days,3
Florida,MIAMI,33156,02 Days,3
Florida,MIAMI,33156,15+ Days,18
Florida,PALMETTO BAY,33158,08-14 Days,2
Florida,PALMETTO BAY,33158,15+ Days,6
Florida,MIAMI,33160,02 Days,6
Florida,MIAMI,33160,04-7 Days,18
Florida,MIAMI ,33166,04-7 Days,3
Florida,DORAL,33172,04-7 Days,2
Florida,MIAMI,33174,15+ Days,3
Florida,MIAMI,33175,02 Days,1
Florida,MIAMI,33176,03 Days,5
Florida,MIAMI,33176,04-7 Days,10
Florida,MIAMI,33176,15+ Days,3
Florida,DORAL,33178,03 Days,2
Florida,MEDLEY,33178,15+ Days,10
Florida,MIAMI,33180,15+ Days,12
Florida,NORTH MIAMI BEACH,33180,03 Days,3
Florida,MIAMI,33184,08-14 Days,6
Florida,MIAMI,33186,08-14 Days,6
Florida,MIAMI,33190,08-14 Days,2
Florida,MIAMI,33196,03 Days,2
Unknown,CAYMAN ISLANDS,33210,15+ Days,6
Florida,MIAMI,33222,15+ Days,10
Florida,FORT LAUDERDALE,33301,02 Days,3
Florida,FORT LAUDERDALE,33301,04-7 Days,4
Florida,FORT LAUDERDALE,33301,15+ Days,6
Florida,FT LAUDERDALE,33301,03 Days,3
Florida,FORT LAUDERDALE,33304,02 Days,5
Florida,FT LAUDERDALE,33304,15+ Days,2
Florida,OAKLAND PARK,33309,04-7 Days,10
Florida,FORT LAUDERDALE,33312,08-14 Days,6
Florida,FORT LAUDERDALE,33312,15+ Days,3
Florida,FT LAUDERDALE,33312,03 Days,1
Florida,HOLLYWOD,33312,08-14 Days,6
Florida,PLANTATION,33317,02 Days,3
Florida,TAMARAC,33321,03 Days,2
Florida,TAMARAC,33321,15+ Days,3
Florida,PLANTATION,33322,08-14 Days,8
Florida,SUNRISE,33323,03 Days,1
