Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
Massachusetts,BROOKLINE,2445,08-14 Days,2
Massachusetts,BROOKLINE,2446,08-14 Days,2
Massachusetts,BROOKLINE,2446,15+ Days,15
Massachusetts,NEWTON,2458,08-14 Days,2
Massachusetts,NEWTON,2459,04-7 Days,6
Massachusetts,NEWTON,2459,08-14 Days,4
Massachusetts,NEWTON,2459,15+ Days,3
Massachusetts,NEWTON,2465,15+ Days,1
Massachusetts,NEWTON,2466,02 Days,2
Massachusetts,WATERTOWN,2472,04-7 Days,2
Massachusetts,WATERTOWN,2472,08-14 Days,3
Massachusetts,WATERTOWN,2472,15+ Days,2
Massachusetts,ARLINGTON,2474,03 Days,1
Massachusetts,ARLINGTON,2474,04-7 Days,1
Massachusetts,ARLINGTON,2474,15+ Days,2
Massachusetts,ARLINGTON,2476,15+ Days,4
Massachusetts,BELMONT,2478,02 Days,4
Massachusetts,WELLESLEY,2482,15+ Days,3
Massachusetts,NEEDHAM,2494,08-14 Days,3
Massachusetts,EDGARTOWN,2539,02 Days,2
Massachusetts,EDGARTOWN,2539,08-14 Days,6
Massachusetts,SANDWICH,2563,15+ Days,2
Massachusetts,EAST FREETOWN,2717,04-7 Days,6
Massachusetts,NORTH ATTLEBORO,2760,15+ Days,7
Rhode Island,BRISTOL,2809,15+ Days,1
Rhode Island,EAST GREENWICH,2818,04-7 Days,6
Rhode Island,EAST GREENWICH ,2818,04-7 Days,6
Rhode Island,JAMESTOWN,2835,08-14 Days,8
Rhode Island,LITTLE COMPTON,2837,08-14 Days,6
Rhode Island,NEWPORT,2840,02 Days,2
Rhode Island,NEWPORT,2840,04-7 Days,4
Rhode Island,NEWPORT,2840,08-14 Days,6
Rhode Island,MIDDLETOWN,2842,15+ Days,9
Rhode Island,NORTH SCITUATE,2857,15+ Days,3
Rhode Island,OAKLAND,2858,15+ Days,6
Rhode Island,PORTSMOUTH,2871,08-14 Days,3
Rhode Island,SOUTH KINGSTOWN,2879,08-14 Days,10
Rhode Island,WAKEFIELD,2879,08-14 Days,3
Rhode Island,WARWICK,2888,15+ Days,6
Rhode Island,WARWICK,2889,08-14 Days,8
Rhode Island,WESTERLY,2891,15+ Days,4
Rhode Island,WEST KINGSTON,2892,15+ Days,4
Rhode Island,WEST WARWICK,2893,15+ Days,1
Rhode Island,PROVIDENCE,2906,04-7 Days,4
Rhode Island,PROVIDENCE,2906,15+ Days,6
Rhode Island,JOHNSTON,2919,15+ Days,3
New Hampshire,NASHUA,3062,15+ Days,6
New Hampshire,NASHUA,3063,08-14 Days,3
Unknown,MEXICO,3100,04-7 Days,1
Unknown,MEXICO,3100,08-14 Days,2
New Hampshire,BEDFORD,3110,15+ Days,6
New Hampshire,NEW LONDON,3257,08-14 Days,3
New Hampshire,CONCORD,3301,04-7 Days,3
New Hampshire,CONCORD,3301,15+ Days,11
New Hampshire,PETERBOROUGH,3458,08-14 Days,6
New Hampshire,PETERBOROUGH,3458,15+ Days,3
New Hampshire,WINCHESTER,3470,15+ Days,6
New Hampshire,CANAAN,3741,15+ Days,4
New Hampshire,LEBANON,3766,15+ Days,3
New Hampshire,WEST LEBANON,3784,08-14 Days,6
New Hampshire,PORTSMOUTH,3801,15+ Days,6
New Hampshire,DOVER ,3820,04-7 Days,1
New Hampshire,EXETER,3833,03 Days,14
New Hampshire,EXETER,3833,15+ Days,3
New Hampshire,HAMPTON,3842,04-7 Days,6
New Hampshire,HAMPTON,3842,15+ Days,6
New Hampshire,SANDOWN,3873,15+ Days,3
Maine,BRUNSWICK,4011,04-7 Days,2
Maine,BRUNSWICK,4011,15+ Days,6
Maine,KENNEBUNK,4043,03 Days,4
Maine,KENNEBUNK,4043,08-14 Days,4
Maine,SCARBOROUGH,4070,04-7 Days,1
Maine,SCARBOROUGH,4074,08-14 Days,4
Maine,FALMOUTH,4105,08-14 Days,9
Maine,SOUTH PORTLAND,4106,15+ Days,4
Maine,CUMBERLAND FORESIDE,4110,04-7 Days,5
Maine,CUMBERLAND FORESIDE,4110,08-14 Days,5
Maine,OLD TOWN,4468,08-14 Days,2
Vermont,RANDOLPH,5060,15+ Days,2
Vermont,STRATTON MT,5155,04-7 Days,2
Vermont,MANCHESTER CENTER,5255,04-7 Days,3
Vermont,WEST DOVER,5356,15+ Days,2
Vermont,WILLISTON,5495,04-7 Days,2
Vermont,BELMONT,5730,15+ Days,4
Vermont,FAIR HAVEN,5743,15+ Days,2
Vermont,EAST HARDWICK,5836,04-7 Days,2
Vermont,NEWPORT CENTER,5857,01 Day,3
Connecticut,AVON,6001,08-14 Days,6
Connecticut,AVON,6001,15+ Days,8
Connecticut,BRISTOL,6010,15+ Days,9
Connecticut,BURLINGTON,6013,15+ Days,3
Connecticut,CANTON,6019,08-14 Days,2
Connecticut,FARMINGTON,6032,15+ Days,6
Connecticut,SOUTH WINDSOR,6074,02 Days,3
Connecticut,SOUTH WINDSOR,6074,15+ Days,2
Connecticut,ENFIELD,6082,03 Days,6
Connecticut,WINSTED,6098,15+ Days,3
Connecticut,HARTFORD,6105,15+ Days,3
Connecticut,WEST HARTFORD,6107,15+ Days,6
Connecticut,WEST HARTFORD,6119,02 Days,2
Connecticut,WEST HARTFORD,6119,15+ Days,3
Connecticut,DANIELSON,6239,04-7 Days,1
Connecticut,DAYVILLE,6241,04-7 Days,1
Connecticut,ASHFORD,6278,08-14 Days,4
Connecticut,GROTON,6340,15+ Days,2
Connecticut,MYSTIC,6355,04-7 Days,4
Connecticut,PRESTON,6365,02 Days,6
Connecticut,BRANFORD,6405,15+ Days,12
Connecticut,CHESTER,6412,08-14 Days,3
Connecticut,EAST HAMPTON,6424,02 Days,3
Connecticut,EAST HAMPTON,6424,03 Days,1
Connecticut,MIDDLETOWN,6457,15+ Days,2
Connecticut,NEWTOWN,6470,08-14 Days,7
Connecticut,TRUMBULL,6611,08-14 Days,3
Connecticut,TRUMBULL,6611,15+ Days,4
Connecticut,GOSHEN,6756,04-7 Days,1
Connecticut,NEW MILFORD,6776,04-7 Days,6
Connecticut,NEW MILFORD,6776,08-14 Days,6
Connecticut,SHERMAN,6784,04-7 Days,2
Connecticut,WOODBURY,6798,15+ Days,3
Connecticut,DANBURY,6811,15+ Days,3
Connecticut,NEW FAIRFIELD,6812,15+ Days,8
Connecticut,DARIEN,6820,02 Days,2
Connecticut,DARIEN,6820,04-7 Days,2
Connecticut,DARIEN,6820,15+ Days,2
Connecticut,FAIRFIELD,6824,02 Days,3
Connecticut,FAIRFIELD,6824,04-7 Days,3
Connecticut,FAIRFIELD,6824,08-14 Days,3
