ZIP CODE,STATE,MSA Name
46065,IN,IN NONMETROPOLITAN AREA
46067,IN,IN NONMETROPOLITAN AREA
46068,IN,"Kokomo, IN MSA"
46069,IN,"Indianapolis-Carmel, IN MSA"
46070,IN,"Anderson, IN MSA"
46071,IN,"Indianapolis-Carmel, IN MSA"
46072,IN,"Kokomo, IN MSA"
46074,IN,"Indianapolis-Carmel, IN MSA"
46075,IN,"Indianapolis-Carmel, IN MSA"
46076,IN,"Kokomo, IN MSA"
46077,IN,"Indianapolis-Carmel, IN MSA"
46082,IN,"Indianapolis-Carmel, IN MSA"
46085,IN,"Indianapolis-Carmel, IN MSA"
46102,IN,"Indianapolis-Carmel, IN MSA"
46103,IN,"Indianapolis-Carmel, IN MSA"
46104,IN,IN NONMETROPOLITAN AREA
46105,IN,"Indianapolis-Carmel, IN MSA"
46106,IN,"Indianapolis-Carmel, IN MSA"
46107,IN,"Indianapolis-Carmel, IN MSA"
46110,IN,"Indianapolis-Carmel, IN MSA"
46111,IN,"Indianapolis-Carmel, IN MSA"
46112,IN,"Indianapolis-Carmel, IN MSA"
46113,IN,"Indianapolis-Carmel, IN MSA"
46114,IN,"Indianapolis-Carmel, IN MSA"
46115,IN,IN NONMETROPOLITAN AREA
46117,IN,"Indianapolis-Carmel, IN MSA"
46118,IN,"Indianapolis-Carmel, IN MSA"
46120,IN,"Indianapolis-Carmel, IN MSA"
46121,IN,"Indianapolis-Carmel, IN MSA"
46122,IN,"Indianapolis-Carmel, IN MSA"
46123,IN,"Indianapolis-Carmel, IN MSA"
46124,IN,"Indianapolis-Carmel, IN MSA"
46125,IN,"Indianapolis-Carmel, IN MSA"
46126,IN,"Indianapolis-Carmel, IN MSA"
46127,IN,IN NONMETROPOLITAN AREA
46128,IN,"Indianapolis-Carmel, IN MSA"
46129,IN,"Indianapolis-Carmel, IN MSA"
46130,IN,"Indianapolis-Carmel, IN MSA"
46131,IN,"Indianapolis-Carmel, IN MSA"
46133,IN,IN NONMETROPOLITAN AREA
46135,IN,"Indianapolis-Carmel, IN MSA"
46140,IN,"Indianapolis-Carmel, IN MSA"
46142,IN,"Indianapolis-Carmel, IN MSA"
46143,IN,"Indianapolis-Carmel, IN MSA"
46144,IN,"Indianapolis-Carmel, IN MSA"
46146,IN,IN NONMETROPOLITAN AREA
46147,IN,"Indianapolis-Carmel, IN MSA"
46148,IN,IN NONMETROPOLITAN AREA
46149,IN,"Indianapolis-Carmel, IN MSA"
46150,IN,IN NONMETROPOLITAN AREA
46151,IN,"Indianapolis-Carmel, IN MSA"
46154,IN,"Indianapolis-Carmel, IN MSA"
46155,IN,IN NONMETROPOLITAN AREA
46156,IN,IN NONMETROPOLITAN AREA
46157,IN,"Indianapolis-Carmel, IN MSA"
46158,IN,"Indianapolis-Carmel, IN MSA"
46160,IN,"Indianapolis-Carmel, IN MSA"
46161,IN,"Indianapolis-Carmel, IN MSA"
46162,IN,"Indianapolis-Carmel, IN MSA"
46163,IN,"Indianapolis-Carmel, IN MSA"
46164,IN,"Indianapolis-Carmel, IN MSA"
46165,IN,"Indianapolis-Carmel, IN MSA"
46166,IN,"Indianapolis-Carmel, IN MSA"
46167,IN,"Indianapolis-Carmel, IN MSA"
46168,IN,"Indianapolis-Carmel, IN MSA"
46170,IN,"Indianapolis-Carmel, IN MSA"
46171,IN,"Indianapolis-Carmel, IN MSA"
46172,IN,"Indianapolis-Carmel, IN MSA"
46173,IN,IN NONMETROPOLITAN AREA
